source_identifier,model,parents,remote_files,sequence,file_identifier,visibility,has_work_type,rdf_type,title,alternative_title,date_issued,date_issued_d,extent,form,subject,abstract,spatial,coordinates,language,resource_type,provider,repository,rights_statement
AR0806_00816_01,Image,collections:utphotoserv,,,AR0806_00816_01_i.jp2,open,,,Men at Oak Ridge Experiment Station,,,,,,Research facilities,,,,,,,,
AR0806_00816_02,Image,collections:utphotoserv,,,AR0806_00816_02_i.jp2,open,,,Men at Oak Ridge Experiment Station,,,,,,Research facilities,,,,,,,,
AR0806_00816_03,Image,collections:utphotoserv,,,AR0806_00816_03_i.jp2,open,,,Men at Oak Ridge Experiment Station,,,,,,Research facilities,,,,,,,,
AR0806_00816_04,Image,collections:utphotoserv,,,AR0806_00816_04_i.jp2,open,,,Man opening gate for car at Oak Ridge Experiment Station,,,,,,Men,,,,,,,,
AR0806_00816_05,Image,collections:utphotoserv,,,AR0806_00816_05_i.jp2,open,,,Woman in laboratory,,,,,,Women,,,,,,,,
AR0806_00816_06,Image,collections:utphotoserv,,,AR0806_00816_06_i.jp2,open,,,Woman in laboratory,,,,,,Women,,,,,,,,
AR0806_00816_07,Image,collections:utphotoserv,,,AR0806_00816_07_i.jp2,open,,,Woman in laboratory,,,,,,Women,,,,,,,,
AR0806_00816_08,Image,collections:utphotoserv,,,AR0806_00816_08_i.jp2,open,,,Man opening gate for car at Oak Ridge Experiment Station,,,,,,Men,,,,,,,,
AR0806_00816_09,Image,collections:utphotoserv,,,AR0806_00816_09_i.jp2,open,,,Man with donkey,,,,,,Animals,,,,,,,,
AR0806_00816_10,Image,collections:utphotoserv,,,AR0806_00816_10_i.jp2,open,,,Man looking in microscope,,,,,,Men,,,,,,,,
