var,sheet,table,level,Ncol_12,Ncol_20,Ncol_51,Ncol_68,nrow,type,description,reference
OT_pm,oferta,tab1,12,2,2,1,2,12,vector,vector | Oferta total a preço de consumidor |  ,2010
MG_com,oferta,tab1,12,3,3,2,3,12,vector,vector | Margem de comércio |  ,2010
MG_tra,oferta,tab1,12,4,4,3,4,12,vector,vector | Margem de transporte |  ,2010
I_imp,oferta,tab1,12,5,5,4,5,12,vector,vector | Imposto de importação |  ,2010
IPI,oferta,tab1,12,6,6,5,6,12,vector,vector | IPI |  ,2010
ICMS,oferta,tab1,12,7,7,6,7,12,vector,vector | ICMS |  ,2010
OI_liq_Sub,oferta,tab1,12,8,8,7,8,12,vector,vector | Outros impostos menos subsídios |  ,2010
TI_liq_sub,oferta,tab1,12,9,9,8,9,12,vector,vector | Total de impostos líquidos de subsídios |  ,2010
OT_pb,oferta,tab1,12,10,10,9,10,12,vector,vector | Oferta total  a preço básico  |  ,2010
P_matrix,producao,tab1,12,2,2,1,2,12,matrix,matrix | Produção das atividades |  ,2010
PT,producao,tab1,12,14,22,52,70,12,vector,vector | Total do produto |  ,2010
CIF_FOB,importacao,tab1,12,x,x,x,x,12,vector,vector | Ajuste CIF/FOB |  ,2010
M_bens,importacao,tab1,12,x,x,x,x,12,vector,vector | Importação de bens |  ,2010
M_serv,importacao,tab1,12,x,x,x,x,12,vector,vector | Importação de serviços |  ,2010
CI_matrix,CI,tab2,12,2,2,1,2,12,matrix,matrix | Consumo intermediário das atividades |  ,2010
D_ci,CI,tab2,12,14,22,52,70,12,vector,vector | Total do produto (Tabela 2 CI) |  ,2010
X_bens,demanda,tab2,12,x,x,x,x,12,vector,vector | Exportação de bens  |  ,2010
X_serv,demanda,tab2,12,x,x,x,x,12,vector,vector | Exportação de serviços |  ,2010
C_g,demanda,tab2,12,3,3,3,3,12,vector,vector | Consumo da administração pública |  ,2010
C_ong,demanda,tab2,12,4,4,4,4,12,vector,vector | Consumo das  ISFLSF |  ,2010
C_f,demanda,tab2,12,5,5,5,5,12,vector,vector | Consumo das famílias |  ,2010
FBKF,demanda,tab2,12,6,6,6,6,12,vector,vector | Formação bruta de capital fixo |  ,2010
DE,demanda,tab2,12,7,7,7,7,12,vector,vector | Variação de estoque |  ,2010
D_final,demanda,tab2,12,8,8,8,8,12,vector,vector | Demanda final |  ,2010
D_total,demanda,tab2,12,9,9,9,9,12,vector,vector | Demanda total |  ,2010
VA_table,VA,tab2,12,1,1,1,1,14–14--12--14,table,matrix | Componentes do valor adicionado |  ,2010
M_bens_serv,importacao,tab1,12,2,2,1,2,12,vector,Importação de bens e serviços (1) (1) Importação de bens e serviços líquida de ajuste CIF/FOB.,2010
X_bens_serv,demanda,tab2,12,2,2,1,2,12,vector,(1) Importação de bens e serviços líquida de ajuste CIF/FOB.,2010
OT_pm,oferta,tab1,12,2,x,1,x,12,vector,vector | Oferta total a preço de consumidor |  ,2000
MG_com,oferta,tab1,12,3,x,2,x,12,vector,vector | Margem de comércio |  ,2000
MG_tra,oferta,tab1,12,4,x,3,x,12,vector,vector | Margem de transporte |  ,2000
I_imp,oferta,tab1,12,5,x,4,x,12,vector,vector | Imposto de importação |  ,2000
IPI,oferta,tab1,12,6,x,5,x,12,vector,vector | IPI |  ,2000
ICMS,oferta,tab1,12,7,x,6,x,12,vector,vector | ICMS |  ,2000
OI_liq_Sub,oferta,tab1,12,8,x,7,x,12,vector,vector | Outros impostos menos subsídios |  ,2000
TI_liq_sub,oferta,tab1,12,9,x,8,x,12,vector,vector | Total de impostos líquidos de subsídios |  ,2000
OT_pb,oferta,tab1,12,10,x,9,x,12,vector,vector | Oferta total  a preço básico  |  ,2000
P_matrix,producao,tab1,12,2,x,1,x,12,matrix,matrix | Produção das atividades |  ,2000
PT,producao,tab1,12,14,x,52,x,12,vector,vector | Total do produto |  ,2000
CIF_FOB,importacao,tab1,12,2,x,1,x,12,vector,vector | Ajuste CIF/FOB |  ,2000
M_bens,importacao,tab1,12,3,x,2,x,12,vector,vector | Importação de bens |  ,2000
M_serv,importacao,tab1,12,4,x,3,x,12,vector,vector | Importação de serviços |  ,2000
CI_matrix,CI,tab2,12,2,x,1,x,12,matrix,matrix | Consumo intermediário das atividades |  ,2000
D_ci,CI,tab2,12,14,x,52,x,12,vector,vector | Total do produto (Tabela 2 CI) |  ,2000
X_bens,demanda,tab2,12,2,x,1,x,12,vector,vector | Exportação de bens  |  ,2000
X_serv,demanda,tab2,12,3,x,2,x,12,vector,vector | Exportação de serviços |  ,2000
C_g,demanda,tab2,12,4,x,3,x,12,vector,vector | Consumo da administração pública |  ,2000
C_ong,demanda,tab2,12,5,x,4,x,12,vector,vector | Consumo das  ISFLSF |  ,2000
C_f,demanda,tab2,12,6,x,5,x,12,vector,vector | Consumo das famílias |  ,2000
FBKF,demanda,tab2,12,7,x,6,x,12,vector,vector | Formação bruta de capital fixo |  ,2000
DE,demanda,tab2,12,8,x,7,x,12,vector,vector | Variação de estoque |  ,2000
D_final,demanda,tab2,12,9,x,8,x,12,vector,vector | Demanda final |  ,2000
D_total,demanda,tab2,12,10,x,9,x,12,vector,vector | Demanda total |  ,2000
VA_table,VA,tab2,12,1,x,1,x,14–14--12--14,table,matrix | Componentes do valor adicionado |  ,2000
M_bens_serv,importacao,tab1,12,2,x,1,x,12,vector,Importação de bens e serviços (1) (1) Importação de bens e serviços líquida de ajuste CIF/FOB.,2000
X_bens_serv,demanda,tab2,12,2,x,1,x,12,vector,(1) Importação de bens e serviços líquida de ajuste CIF/FOB.,2000
